Timestamp,AccX,AccY,AccZ,Heart_IR,Phase,Acc_Mag,Intensity_Label,Trial_ID,Property
0.0096442699432373,-556,42,1999,112276,0,2075.307447102718,3,INTENSE_01,CLEAN
0.0496859550476074,-618,48,1941,112252,0,2037.5742931240568,3,INTENSE_01,CLEAN
0.089576244354248,-588,51,1905,112378,0,1994.3344754579157,3,INTENSE_01,CLEAN
0.1285598278045654,-595,53,1870,112421,0,1963.0929677424856,3,INTENSE_01,CLEAN
0.1685645580291748,-575,68,1895,112533,0,1981.482778123494,3,INTENSE_01,CLEAN
0.2085475921630859,-589,68,1893,112691,0,1983.6819301490852,3,INTENSE_01,CLEAN
0.2485239505767822,-589,64,1957,112745,0,2044.7166062806846,3,INTENSE_01,CLEAN
0.2885096073150635,-598,58,2006,112818,0,2094.0401142289516,3,INTENSE_01,CLEAN
0.3285257816314697,-573,74,2073,112917,0,2152.006970248935,3,INTENSE_01,CLEAN
0.3685038089752197,-617,72,1993,113036,0,2087.5636517241815,3,INTENSE_01,CLEAN
0.4088826179504394,-599,68,1952,113076,0,2042.970631213283,3,INTENSE_01,CLEAN
0.4485116004943847,-580,86,1987,113069,0,2071.705818884525,3,INTENSE_01,CLEAN
0.4886732101440429,-584,93,1920,113054,0,2009.0059731120762,3,INTENSE_01,CLEAN
0.5287075042724609,-612,52,1955,113050,0,2049.2127756775285,3,INTENSE_01,CLEAN
0.5685005187988281,-616,46,1933,113092,0,2029.3006184397618,3,INTENSE_01,CLEAN
0.6084918975830078,-567,10,1942,113125,0,2023.1047921449842,3,INTENSE_01,CLEAN
0.6479713916778564,-559,77,1956,113168,0,2035.7666860423863,3,INTENSE_01,CLEAN
0.6875219345092773,-503,88,1974,113212,0,2038.9774397967233,3,INTENSE_01,CLEAN
0.7275335788726807,-465,108,1968,113374,0,2025.0711098625648,3,INTENSE_01,CLEAN
0.7675573825836182,-489,162,1939,113549,0,2006.2616977852117,3,INTENSE_01,CLEAN
0.8075504302978516,-444,167,1962,113478,0,2018.5313968328558,3,INTENSE_01,CLEAN
0.8475310802459717,-484,163,1925,112833,0,1991.594838314259,3,INTENSE_01,CLEAN
0.8879227638244629,-581,129,1984,112474,0,2071.342077011907,3,INTENSE_01,CLEAN
0.9275717735290528,-592,96,2039,112469,0,2125.3707911797414,3,INTENSE_01,CLEAN
0.9675188064575196,-521,-21,1945,112514,0,2013.6799646418494,3,INTENSE_01,CLEAN
1.0075464248657229,-515,-67,1954,112438,0,2021.8382724639475,3,INTENSE_01,CLEAN
1.0479590892791748,-533,-18,1996,112422,0,2066.017666913814,3,INTENSE_01,CLEAN
