Timestamp,AccX,AccY,AccZ,Heart_IR
0.0008437633514404297,-8256,4172,-12252,0
0.038884878158569336,-5108,2816,-13128,262143
0.07896852493286133,-4232,2544,-15228,262143
0.11888456344604492,-2396,1084,-15712,262143
0.1591324806213379,-4244,-2036,-18840,262143
0.1987755298614502,-4080,-1252,-18400,262143
0.2388465404510498,-7980,-924,-19484,262143
0.2787916660308838,-9136,-2180,-19840,262143
0.3187441825866699,-12672,-308,-18724,262143
0.35909342765808105,-12876,-1784,-19368,262143
0.39778733253479004,-10560,308,-17972,262143
0.437807559967041,-7212,-32,-15880,262143
0.4778463840484619,-2852,-1088,-11728,262143
0.5179545879364014,1848,-1368,-11068,262143
0.5577490329742432,3952,-2980,-9300,262143
0.5977356433868408,1312,724,-19564,262143
0.637824296951294,-6716,12840,-18696,262143
0.6781902313232422,-8300,31172,-27436,262143
0.7180380821228027,-4044,32767,-10944,262143
0.7577216625213623,8116,32767,1660,262143
0.7967517375946045,-7136,9956,32208,262143
0.8368093967437744,-30584,-32768,-7336,262143
0.8768832683563232,-21344,-32768,-32768,262143
0.916724681854248,-17016,-8516,8500,262143
0.9567623138427734,-5708,16336,20,262143
0.9970345497131348,-8828,15056,-10204,262143
1.0367398262023926,-5172,2104,-17668,262143
1.0769832134246826,-2516,-2364,-13448,262143
1.1169908046722412,-120,-4956,-19160,262143
1.1569406986236572,-984,-4308,-14056,262143
1.1957788467407227,-2724,-3728,-18112,262143
1.2357580661773682,-1284,-12,-15544,262143
1.2759952545166016,-3828,4752,-23004,262143
1.315795660018921,-1008,14820,-20688,262143
1.3557913303375244,-704,32767,-28792,262143
1.395758867263794,-3104,32767,9548,262143
1.4357972145080566,-2296,32767,17536,262143
1.4759202003479004,-32768,-32768,32767,262143
1.5158121585845947,-12812,-32768,-32768,262143
1.5562105178833008,-3468,8948,22384,262143
1.595151662826538,-17080,18652,-10420,262143
1.634828805923462,-13164,-10092,-23376,262143
1.6748478412628174,-4800,-16780,-19812,262143
1.714949607849121,-6012,-13512,-17896,262143
1.7548167705535889,-6368,-11596,-15088,262143
1.794802188873291,-2348,-7440,-16356,262143
1.8347890377044678,-3620,-920,-11652,262143
1.8748018741607666,-2580,3964,-16268,262143
1.9147965908050537,-2032,6352,-16280,262143
1.9547991752624512,-1944,7820,-15564,262143
1.9939210414886475,-3212,11612,-22040,262143
2.033761501312256,-4472,20264,-24144,262143
2.073782205581665,-9260,32767,-13804,262143
2.1137561798095703,-13052,32767,13112,262143
2.1537606716156006,1632,-4528,25712,262143
2.193819999694824,-30680,-32768,-18568,262143
2.2340569496154785,-8808,-32768,-848,262143
2.2739696502685547,-16516,27072,3156,262143
2.3139724731445312,-13892,-2728,-21796,262143
2.3537774085998535,-8292,-17708,-20712,262143
2.3938066959381104,-4028,-15292,-14568,262143
2.4327516555786133,-4196,-15824,-14444,262143
2.4728198051452637,-3644,-11376,-15884,262143
2.5127882957458496,-4436,-8228,-15468,262143
2.5527567863464355,-2384,3196,-14696,262143
2.5933032035827637,-1584,5528,-13812,262143
2.633335828781128,-2872,6860,-14684,262143
2.673269748687744,-3560,9932,-19324,262143
2.713315010070801,-4860,13868,-24228,262143
2.7533018589019775,-7416,26412,-23008,262143
2.793644905090332,-16708,32767,-10752,262143
2.832240343093872,-12448,32767,8292,262143
2.8724639415740967,-1008,-25168,28076,262143
2.9124083518981934,-14400,-32768,-32768,262143
2.9521565437316895,-5624,-14156,11404,262143
2.992328643798828,-14036,22620,1804,262143
3.03216552734375,-13424,-6236,-18112,262143
3.072293996810913,-9304,-14916,-20028,262143
3.1127212047576904,-4072,-14824,-15172,262143
3.151801347732544,-6912,-12276,-16648,262143
3.1917786598205566,-4620,-12308,-15236,262143
3.231829881668091,-4292,-9088,-13676,262143
3.2708029747009277,-6988,408,-15316,262143
3.310758590698242,-6260,2380,-11772,262143
3.350964307785034,-6036,7732,-18456,262143
3.3908021450042725,-4664,10292,-15412,262143
3.4308249950408936,-4488,19360,-23040,262143
3.4707376956939697,-6864,29592,-18116,262143
3.5108377933502197,-6936,32767,-12112,262143
3.5508437156677246,-6752,32767,10608,262143
3.5907704830169678,3040,15616,14244,262143
3.631234645843506,-32768,-32768,4728,262143
3.671205759048462,2128,-32768,-30880,262143
3.7105064392089844,-6912,14704,19484,262143
3.7504162788391113,-17000,16808,-12880,262143
3.790588140487671,-11020,-10396,-18820,262143
3.8303561210632324,-1308,-14780,-19456,262143
3.8707995414733887,-5636,-11388,-15516,262143
3.9102118015289307,-9112,-9360,-19064,262143
3.950489044189453,-7292,-6856,-15936,262143
3.9904918670654297,-5800,-4732,-14420,262143
4.030525207519531,-5556,-416,-14104,262143
4.070310592651367,-5480,2436,-14380,262143
4.11030650138855,-6432,6188,-17464,262143
4.189534902572632,-9392,14832,-20612,262143
4.1911890506744385,-14004,23392,-21816,262143
4.229380369186401,-14296,32767,-13588,262143
4.2693095207214355,-10224,32767,-5884,262143
4.309351444244385,-9568,32767,17920,262143
4.3492302894592285,-14024,-32768,24384,262143
4.389325380325317,-29688,-32768,-30504,262143
4.429125070571899,-548,-20056,-2612,262143
4.469202518463135,-5052,17700,10288,262143
4.509616136550903,-13904,1620,-16148,262143
4.549484729766846,-18320,-11964,-17404,262143
4.589234352111816,-9156,-13412,-18820,262143
4.628191947937012,-8900,-12676,-13140,262143
4.668300628662109,-8292,-7664,-16996,262143
4.708209991455078,-6244,-2424,-16060,262143
4.7481465339660645,-3188,1420,-10048,262143
4.788511276245117,616,6924,-13376,262143
4.82837700843811,-3580,13120,-11164,262143
4.868183851242065,-5000,18960,-15448,262143
4.9082396030426025,-9820,24472,-13028,262143
4.948182582855225,-5264,25144,-19020,262143
4.988712310791016,-4352,32767,-17980,262143
5.028177499771118,-2348,32767,6712,262143
5.067154884338379,964,12600,14264,262143
5.107469797134399,-32768,-32768,7796,262143
5.1478235721588135,-3652,-32768,-32768,262143
5.187162399291992,-800,11020,22816,262143
5.227202415466309,-18716,9960,-12284,262143
5.2672271728515625,-16200,-5440,-13712,262143
5.307229042053223,-5564,-10656,-16100,262143
5.347168207168579,-7176,-9892,-14436,262143
5.387279748916626,-10064,-9236,-16420,262143
5.4276838302612305,-6776,-8620,-15192,262143
5.467178583145142,-5880,-4552,-16600,262143
5.5073089599609375,-3804,444,-12976,262143
5.546212434768677,-8104,4080,-15716,262143
5.586193323135376,-5784,6712,-13372,262143
5.626726388931274,-5672,10364,-18244,262143
5.666256904602051,-5960,15224,-14404,262143
5.706231355667114,-14084,25708,-20384,262143
5.746183395385742,-13988,32767,-15320,262143
5.786214351654053,-17412,32767,-7056,262143
5.826796054840088,-16476,32767,23296,262143
5.866185188293457,-10680,-32768,24208,262143
5.90620493888855,-20024,-32768,-32768,262143
5.946261882781982,-3228,-5100,23244,262143
5.985175132751465,-5696,23096,7620,262143
6.025280714035034,-23256,184,-7420,262143
6.065346002578735,-11828,-11976,-22868,262143
6.10523796081543,-9200,-13388,-13452,262143
6.145331382751465,-10404,-10140,-16600,262143
6.18518328666687,-9040,-8748,-13764,262143
6.225342273712158,-8896,-6028,-15800,262143
6.265695571899414,-7780,-2728,-15640,262143
6.305188894271851,-6156,488,-14492,262143
6.3453052043914795,-5704,5068,-16352,262143
6.385164022445679,-6804,9496,-18356,262143
6.424234628677368,-10036,17484,-20904,262143
6.464249849319458,-10960,23016,-16820,262143
6.504173040390015,-6700,32767,-14004,262143
6.544621229171753,-7940,32767,-260,262143
6.5846757888793945,-8780,32767,15988,262143
6.624247789382935,-20064,4932,32767,262143
6.664284944534302,-27260,-32768,-32768,262143
6.70479154586792,-10328,-32660,-448,262143
6.744512557983398,-5484,18800,10940,262143
6.784221410751343,-11724,9220,-2848,262143
6.8242199420928955,-22044,-7332,-13016,262143
6.864222288131714,-9732,-16164,-18772,262143
6.903223991394043,-11112,-15700,-14860,262143
6.94416069984436,-11928,-9044,-15700,262143
6.983185768127441,-8692,-6912,-15228,262143
7.0231993198394775,-9332,-1764,-13796,262143
7.063186168670654,-13904,6116,-16248,262143
7.103201150894165,-8924,9936,-13612,262143
7.143193960189819,-9168,17364,-18556,262143
7.18319845199585,-6844,21412,-17676,262143
7.223196029663086,-5856,30368,-13616,262143
7.263157606124878,-2288,32767,196,262143
7.3032920360565186,-8208,32767,31588,262143
7.3432087898254395,-9992,11184,30520,262143
7.382220506668091,-32768,-32768,-26936,262143
7.422205209732056,-16876,-32768,-10348,262143
7.462622880935669,-176,18648,14820,262143
7.5021374225616455,764,18372,-3480,262143
7.5430214405059814,-12308,-6240,-9340,262143
7.5823493003845215,-16852,-10816,-23304,262143
7.622233629226685,-10856,-13428,-15728,262143
7.662211179733276,-6756,-3436,-14756,262143
7.702187538146973,-6076,-464,-14036,262143
7.742710828781128,-5596,7072,-19536,262143
7.782444000244141,-3996,7712,-17552,262143
7.822245121002197,-4156,14176,-25916,262143
7.861390590667725,-4668,17740,-20304,262143
7.901634693145752,-3352,25796,-15804,262143
7.941267251968384,1492,32767,-8268,262143
7.981389284133911,140,32767,14524,262143
8.02116346359253,5620,30376,6748,262143
8.0616135597229,-4248,15444,25832,262143
8.101213216781616,-27412,-32768,21708,262143
8.141227960586548,-22736,-32768,-32768,262143
8.181236982345581,-13440,-22144,-1172,262143
8.221226453781128,-4652,12112,7220,262143
8.261178016662598,-2024,14192,-8244,262143
8.301199197769165,-4908,2372,-14344,262143
