elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh,seconds_left
45199,lying,1,2,97.52,1873.7,194.2,1.33,2485.2,1,0,89
45600,lying,1,2,97.52,1867.3,196.2,1.33,2485.2,1,0,89
46000,lying,1,2,97.52,1858.6,209.4,1.34,2485.2,1,0,89
46399,lying,1,2,97.52,1819.7,191.5,1.37,2485.2,1,0,88
46806,lying,1,2,97.52,1824.8,130.4,1.21,2213.8,1,0,88
47305,lying,1,2,97.52,1825.9,147.2,1.27,2326.9,1,0,87
47599,lying,1,2,97.52,1827.9,147.9,1.27,2326.9,1,0,87
47999,lying,1,3,103.04,1805.4,148.2,1.29,2326.9,1,1,87
48430,lying,1,4,103.27,1879.0,260.9,1.53,2877.9,1,1,86
48799,lying,1,1,103.27,1853.7,290.5,1.55,2877.9,1,1,86
49199,lying,1,1,103.27,1845.4,288.1,1.56,2877.9,1,1,85
49636,lying,1,1,103.27,1842.9,281.4,1.56,2877.9,1,1,85
49999,lying,1,1,103.27,1866.8,277.3,1.54,2877.9,1,1,85
50399,lying,1,4,103.27,1885.5,271.9,1.53,2877.9,1,1,84
50823,lying,1,3,103.27,1793.5,167.1,1.15,2067.7,1,1,84
51340,lying,1,2,103.27,1838.9,202.9,1.31,2410.6,1,1,83
51599,lying,1,1,103.27,1870.7,230.1,1.3,2434.5,1,1,83
51999,lying,1,1,103.27,1874.0,278.2,1.54,2884.5,1,1,83
52400,lying,1,4,103.27,1883.4,284.6,1.53,2884.5,1,0,82
52798,lying,1,1,103.27,1868.7,288.7,1.54,2884.5,1,0,82
53198,lying,1,4,103.27,1878.6,278.9,1.54,2884.5,1,0,81
53598,lying,1,1,103.27,1869.1,230.1,1.54,2884.5,1,0,81
53997,lying,1,2,103.27,1844.9,203.0,1.56,2884.5,1,0,81
54398,lying,1,2,103.27,1828.9,127.2,1.23,2256.0,1,0,80
54798,lying,1,2,103.27,1818.0,189.9,1.42,2583.2,1,0,80
55198,lying,1,2,103.27,1850.7,202.3,1.4,2583.2,1,0,79
55600,lying,1,2,103.27,1872.5,203.6,1.38,2583.2,1,0,79
55997,lying,1,2,103.27,1865.4,209.9,1.38,2583.2,1,0,79
56415,lying,1,2,103.27,1859.6,203.8,1.39,2583.2,1,0,78
56824,lying,1,2,103.27,1860.1,218.3,1.39,2583.2,1,0,78
57202,lying,1,3,103.27,1883.1,178.0,1.25,2356.0,1,0,77
57596,lying,1,3,103.27,1876.4,180.4,1.26,2356.0,1,0,77
57997,lying,1,2,103.27,1836.9,193.7,1.28,2356.0,1,0,77
58419,lying,1,2,103.27,1858.4,200.4,1.32,2452.0,1,0,76
58796,lying,1,2,103.27,1863.6,206.1,1.32,2452.0,1,0,76
59197,lying,1,2,103.27,1876.5,193.8,1.31,2452.0,1,0,75
59609,lying,1,0,103.27,1846.5,166.4,1.33,2452.0,1,0,75
59997,lying,1,2,103.27,1832.3,144.7,1.34,2452.0,1,0,75
60437,lying,0,0,103.27,1852.8,122.4,1.32,2452.0,1,0,74
60796,lying,0,2,103.27,1821.7,98.7,1.18,2146.7,1,0,74
61197,lying,0,2,103.27,1834.5,206.5,1.42,2607.9,1,0,73
61623,lying,0,2,103.27,1844.8,208.3,1.41,2607.9,1,0,73
62114,lying,0,2,103.27,1845.7,212.6,1.41,2607.9,1,0,72
62397,lying,0,1,103.27,1842.7,259.2,1.42,2607.9,1,0,72
62806,lying,0,1,103.27,1857.6,260.2,1.4,2607.9,1,0,72
63244,lying,0,1,103.27,1859.0,259.6,1.4,2607.9,1,0,71
63605,lying,0,2,103.27,1832.3,180.8,1.32,2417.4,1,0,71
64006,lying,0,2,103.27,1818.6,169.1,1.33,2417.4,1,0,71
64442,lying,0,2,103.27,1810.5,162.5,1.34,2417.4,1,0,70
64805,lying,0,3,103.27,1807.1,68.7,1.12,2016.2,1,0,70
65206,lying,0,2,103.27,1784.7,47.8,1.06,1887.5,1,0,69
65622,lying,0,3,103.27,1793.7,68.1,1.12,2002.9,1,0,69
66006,lying,0,3,103.27,1805.1,76.0,1.11,2002.9,1,0,69
66406,lying,0,3,103.27,1800.6,90.5,1.12,2008.1,1,0,68
66810,lying,0,2,103.27,1825.4,138.9,1.3,2375.0,1,0,68
67356,lying,0,2,103.27,1811.9,159.2,1.31,2375.0,1,0,67
67634,lying,0,2,103.27,1861.3,212.8,1.35,2518.8,1,0,67
68013,lying,0,4,103.27,1908.1,274.5,1.34,2559.8,1,0,67
