elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh,seconds_left
48127,lying,1,0,75.0,1869.5,10.3,1.01,1892.7,1,0,89
48527,lying,1,0,75.0,1870.5,10.4,1.01,1892.7,1,0,89
48928,lying,1,0,75.0,1870.9,10.1,1.01,1892.7,1,0,89
49328,lying,1,0,75.0,1869.9,9.2,1.01,1891.6,1,0,88
49728,lying,1,0,75.0,1870.3,9.6,1.01,1891.6,1,0,88
50158,lying,1,0,75.0,1869.7,9.3,1.01,1891.6,1,0,87
50527,lying,1,0,75.0,1870.1,9.4,1.01,1891.6,1,0,87
50944,lying,1,0,75.0,1870.2,10.4,1.02,1898.4,1,0,87
51328,lying,1,0,75.0,1887.5,50.3,1.1,2082.6,1,0,86
51742,lying,1,0,75.0,1874.4,68.4,1.11,2082.6,1,0,86
52128,lying,1,0,75.0,1875.6,72.7,1.11,2082.6,1,0,85
52559,lying,1,0,75.0,1872.9,73.9,1.11,2082.6,1,0,85
52930,lying,1,0,75.0,1881.0,79.7,1.11,2082.6,1,0,85
53330,lying,1,0,75.0,1873.1,85.5,1.11,2082.6,1,0,84
53752,lying,1,0,76.05,1853.6,70.0,1.09,2021.7,1,1,84
54130,lying,1,0,76.05,1863.6,59.9,1.08,2021.7,1,1,83
54528,lying,1,0,67.33,1861.4,65.2,1.09,2021.7,1,1,83
54929,lying,1,0,67.33,1865.8,70.6,1.08,2021.7,1,1,83
55333,lying,1,0,67.33,1879.3,85.2,1.11,2079.8,1,1,82
55730,lying,1,0,65.53,1861.0,105.3,1.12,2079.8,1,1,82
56212,lying,1,0,65.53,1862.3,103.0,1.12,2079.8,1,1,81
56529,lying,1,0,65.53,1873.6,104.5,1.11,2079.8,1,1,81
56960,lying,1,0,65.53,1884.5,103.1,1.1,2079.8,1,1,81
57329,lying,1,0,65.53,1871.1,112.9,1.11,2079.8,1,1,80
57830,lying,1,0,65.53,1843.9,99.7,1.11,2041.7,1,1,80
58235,lying,1,0,65.53,1859.8,88.9,1.1,2041.7,1,1,79
58631,lying,1,0,65.53,1829.8,113.9,1.12,2041.7,1,1,79
59161,lying,1,0,65.53,1824.2,138.6,1.25,2278.2,1,1,78
59430,lying,1,0,65.53,1822.1,151.6,1.25,2278.2,1,1,78
59839,lying,1,0,65.53,1840.8,153.0,1.24,2278.2,1,0,78
60230,lying,1,0,65.53,1857.8,161.7,1.23,2278.2,1,0,77
60630,lying,1,0,65.53,1896.5,186.1,1.24,2346.6,1,0,77
61053,lying,1,0,65.53,1926.8,160.1,1.22,2346.6,1,0,77
61431,lying,1,0,65.53,1940.7,137.6,1.21,2346.6,1,0,76
61862,lying,1,0,65.53,1932.0,130.6,1.21,2346.6,1,0,76
62230,lying,1,0,65.53,1933.2,128.5,1.21,2346.6,1,0,75
62632,lying,1,0,65.53,1938.5,133.5,1.21,2346.6,1,0,75
63053,lying,1,0,70.45,1902.0,109.7,1.18,2235.8,1,1,75
63449,lying,0,0,70.45,1946.0,164.7,1.25,2438.6,1,1,74
63832,lying,0,0,70.8,1949.1,212.7,1.29,2515.3,1,1,74
64246,lying,0,0,70.8,1978.8,210.2,1.27,2515.3,1,1,73
64632,lying,0,0,70.8,1982.8,212.2,1.27,2515.3,1,1,73
65071,lying,0,0,70.8,1993.5,204.3,1.26,2515.3,1,1,73
65431,lying,0,0,70.8,2027.3,186.6,1.24,2515.3,1,1,72
65865,lying,0,0,70.8,2021.1,159.1,1.24,2515.3,1,1,72
66232,lying,0,0,70.8,2039.1,101.1,1.11,2263.4,1,1,71
66633,lying,0,0,70.8,2052.0,106.9,1.12,2307.2,1,1,71
67071,lying,0,0,70.8,2088.2,168.6,1.44,3003.1,1,1,71
67433,lying,0,0,70.8,2109.4,171.3,1.42,3003.1,1,1,70
67876,lying,0,0,70.8,2130.8,168.3,1.41,3003.1,1,0,70
68309,lying,0,0,70.8,2139.2,166.4,1.4,3003.1,1,0,69
68640,lying,0,0,70.8,2153.7,166.1,1.39,3003.1,1,0,69
69034,lying,0,0,70.8,2181.0,168.3,1.38,3003.1,1,0,69
69456,lying,0,0,70.8,2186.0,89.6,1.12,2446.1,1,0,68
69834,lying,0,0,70.8,2194.7,82.8,1.11,2446.1,1,0,68
70272,lying,0,0,70.8,2199.7,80.1,1.11,2446.1,1,0,67
70625,lying,0,0,70.8,2207.8,77.2,1.11,2446.1,1,0,67
71035,lying,0,0,70.8,2209.5,51.4,1.07,2373.6,1,0,67
71425,lying,0,0,70.8,2193.2,34.7,1.04,2281.9,1,0,66
71825,lying,0,0,70.8,2193.3,27.0,1.04,2281.9,1,0,66
72253,lying,0,0,70.8,2189.7,21.2,1.02,2241.9,1,0,65
72733,lying,0,0,70.8,2191.6,17.0,1.02,2241.9,1,0,65
73025,lying,0,0,70.8,2190.9,16.3,1.02,2236.7,1,0,65
73460,lying,0,0,70.8,2188.1,19.2,1.02,2236.7,1,0,64
73824,lying,0,0,70.8,2200.7,42.7,1.09,2393.7,1,0,64
74225,lying,0,0,68.04,2214.0,51.0,1.08,2393.7,1,1,63
74631,lying,0,0,68.04,2222.0,58.5,1.08,2393.7,1,1,63
75027,lying,0,0,71.83,2234.6,84.3,1.12,2493.7,1,1,63
75485,lying,0,0,71.83,2200.0,130.3,1.13,2493.7,1,1,62
75825,lying,0,0,71.83,2165.7,160.9,1.15,2493.7,1,1,62
76226,lying,0,0,71.83,2116.7,169.7,1.18,2493.7,1,1,61
76653,lying,0,0,71.83,2049.4,180.8,1.22,2493.7,1,1,61
77041,lying,0,0,71.83,2006.3,158.4,1.24,2493.7,1,1,61
77426,lying,0,0,71.83,1921.5,111.9,1.11,2138.7,1,1,60
77868,lying,0,0,71.83,1893.3,111.9,1.13,2138.7,1,1,60
78227,lying,0,0,71.83,1867.2,102.7,1.15,2138.7,1,1,59
78627,lying,0,0,71.83,1833.4,90.8,1.11,2036.2,1,1,59
79042,lying,0,0,71.83,1823.9,79.6,1.12,2036.2,1,0,59
79427,lying,0,0,71.83,1792.8,36.5,1.04,1872.8,1,0,58
79828,lying,0,0,71.83,1801.9,33.2,1.04,1872.8,1,0,58
