elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh,seconds_left
67293,lying,1,0,74.24,2018.3,667.3,2.99,6036.5,1,0,86
67711,lying,1,0,74.24,1966.1,666.3,3.07,6036.5,1,0,85
68092,lying,1,0,74.24,1911.9,616.1,3.16,6036.5,1,0,85
68558,lying,1,0,74.24,1923.2,609.3,3.14,6036.5,1,0,85
68892,lying,1,0,74.24,1858.9,260.5,2.01,3743.9,1,0,84
69292,lying,1,0,74.24,1817.8,9.6,1.01,1836.7,1,0,84
69727,lying,1,0,74.24,1847.4,181.6,1.58,2910.3,1,0,83
70115,lying,1,0,74.24,1885.5,244.7,1.54,2910.3,1,0,83
70493,lying,1,0,74.24,1899.5,248.4,1.53,2910.3,1,0,83
70893,lying,1,0,74.24,1918.3,250.7,1.52,2910.3,1,0,82
71304,lying,1,0,74.24,1954.8,256.2,1.49,2910.3,1,0,82
71692,lying,1,0,74.24,1995.6,275.5,1.46,2910.3,1,0,81
72173,lying,1,0,74.24,2010.9,253.7,1.37,2763.0,1,0,81
72493,lying,1,0,74.24,1992.1,218.6,1.39,2763.0,1,0,81
72902,lying,1,0,74.24,2010.1,215.7,1.37,2763.0,1,0,80
73292,lying,1,0,74.24,1978.6,244.4,1.4,2763.0,1,0,80
73693,lying,1,0,74.24,1971.9,276.3,1.4,2763.0,1,0,79
74125,lying,1,0,74.24,1988.0,287.5,1.37,2732.3,1,0,79
74495,lying,1,0,74.24,1926.0,299.1,1.42,2732.3,1,0,79
74892,lying,1,0,74.24,1916.7,298.0,1.43,2732.3,1,0,78
75293,lying,1,0,74.24,1891.4,303.4,1.44,2732.3,1,0,78
75724,lying,1,0,74.24,1915.9,290.2,1.43,2732.3,1,0,77
76092,lying,1,0,74.24,1893.5,256.4,1.29,2436.0,1,0,77
76494,lying,1,0,74.24,1836.9,194.8,1.22,2244.6,1,0,77
76892,lying,1,0,74.24,1882.1,319.7,2.08,3920.0,1,0,76
77292,lying,1,0,70.3,1896.4,392.5,2.07,3920.0,1,1,76
77716,lying,1,0,70.3,1900.3,390.6,2.06,3920.0,1,1,75
78092,lying,1,0,70.3,1912.5,394.0,2.05,3920.0,1,1,75
78504,lying,1,0,70.3,1914.9,393.2,2.05,3920.0,1,1,75
78898,lying,0,0,71.74,1921.7,393.2,2.04,3920.0,1,1,74
79293,lying,0,0,71.74,1930.0,325.9,1.66,3209.7,1,1,74
79693,lying,0,0,82.78,1905.7,238.3,1.68,3209.7,1,1,73
80094,lying,0,0,82.78,1865.4,262.9,1.72,3209.7,1,1,73
80494,lying,0,0,82.78,1914.4,363.6,1.96,3749.2,1,1,73
80949,lying,0,0,82.78,1981.5,388.9,1.89,3749.2,1,1,72
81292,lying,0,0,82.78,2036.9,395.6,1.84,3749.2,1,1,72
81748,lying,0,0,82.78,2024.0,361.9,1.85,3749.2,1,1,71
82092,lying,0,0,82.78,2037.0,351.8,1.84,3749.2,1,1,71
82493,lying,0,0,82.78,2071.7,312.2,1.81,3749.2,1,1,71
82893,lying,0,0,82.78,2003.8,222.8,1.27,2536.9,1,1,70
83307,lying,0,0,82.78,1942.9,177.4,1.26,2445.9,1,1,70
83693,lying,0,0,82.78,1902.0,136.2,1.27,2415.5,1,0,69
84095,lying,0,0,82.78,1898.7,126.5,1.27,2415.5,1,0,69
84492,lying,0,0,82.78,1902.0,142.5,1.27,2415.5,1,0,69
84893,lying,0,0,82.78,1910.4,135.2,1.26,2415.5,1,0,68
85303,lying,0,0,82.78,1923.4,143.1,1.26,2415.5,1,0,68
85693,lying,0,0,82.78,1924.0,156.0,1.26,2415.5,1,0,67
86160,lying,0,0,82.78,1927.2,153.2,1.16,2244.3,1,0,67
86493,lying,0,0,82.78,1933.4,202.7,1.5,2898.1,1,0,67
86893,lying,0,0,82.78,1921.8,193.4,1.51,2898.1,1,0,66
87292,lying,0,0,82.78,1925.3,279.4,1.62,3117.8,1,0,66
87699,lying,0,0,82.78,1919.4,274.0,1.62,3117.8,1,0,65
88094,lying,0,0,82.78,1924.0,275.6,1.62,3117.8,1,0,65
88504,lying,0,0,82.78,1916.5,281.4,1.63,3117.8,1,0,65
88894,lying,0,0,82.78,1904.7,257.0,1.64,3117.8,1,0,64
89295,lying,0,0,82.78,1930.4,296.7,1.62,3117.8,1,0,64
89726,lying,0,0,82.78,1938.7,220.5,1.32,2563.4,1,0,63
90095,lying,0,0,82.78,1962.2,232.0,1.31,2563.4,1,0,63
90509,lying,0,0,82.78,1979.5,225.9,1.29,2563.4,1,0,63
90895,lying,0,0,82.78,1999.3,216.7,1.28,2563.4,1,0,62
91313,lying,0,0,82.78,2026.1,229.2,1.27,2563.4,1,0,62
91693,lying,0,0,82.78,1984.7,287.7,1.52,3021.3,1,0,61
92138,lying,0,0,92.6,1983.4,286.3,1.52,3021.3,1,1,61
92495,lying,0,0,92.6,1958.9,304.3,1.54,3021.3,1,1,61
92894,lying,0,0,92.6,1921.5,306.3,1.57,3021.3,1,1,60
93295,lying,0,0,92.6,1896.3,296.6,1.59,3021.3,1,1,60
93695,lying,0,0,92.6,1856.4,264.2,1.63,3021.3,1,1,59
94131,lying,0,0,92.6,1889.1,170.3,1.26,2371.4,1,1,59
94493,lying,0,0,92.6,1874.9,240.0,1.27,2382.4,1,1,59
94952,lying,0,0,92.6,1914.9,325.0,1.9,3635.6,1,1,58
95296,lying,0,0,92.6,1956.5,334.4,1.86,3635.6,1,1,58
95746,lying,0,0,92.6,1954.4,337.7,1.86,3635.6,1,1,57
96095,lying,0,0,82.23,1958.1,343.2,1.86,3635.6,1,1,57
96532,lying,0,0,82.23,1940.9,346.3,1.87,3635.6,1,1,57
96895,lying,0,0,82.23,1936.2,301.4,1.88,3635.6,1,1,56
97296,lying,0,0,82.23,1896.7,174.9,1.26,2384.9,1,1,56
97694,lying,0,0,82.23,1859.6,136.6,1.2,2236.8,1,1,55
98095,lying,0,0,82.23,1855.0,127.1,1.21,2236.8,1,1,55
98544,lying,0,0,82.23,1852.9,102.0,1.19,2205.4,1,1,55
98893,lying,0,0,82.23,1851.4,85.9,1.19,2205.4,1,1,54
99296,lying,0,0,82.23,1849.7,69.4,1.17,2158.1,1,1,54
99694,lying,0,0,82.23,1838.8,66.7,1.17,2158.1,1,1,53
100095,lying,0,0,71.93,1824.8,120.3,1.27,2318.6,1,1,53
100508,lying,0,0,71.93,1830.2,188.6,1.55,2845.1,1,1,53
100895,lying,0,0,71.93,1866.8,232.8,1.52,2845.1,1,1,52
101295,lying,0,0,71.93,1889.2,291.6,1.62,3052.9,1,1,52
101695,lying,0,0,71.93,1888.9,295.7,1.62,3052.9,1,1,51
102136,lying,0,0,71.93,1894.1,296.3,1.61,3052.9,1,1,51
102495,lying,0,0,71.93,1910.4,271.1,1.6,3052.9,1,1,51
102896,lying,0,0,71.93,1895.6,235.2,1.61,3052.9,1,1,50
103295,lying,0,0,71.93,1858.1,196.6,1.64,3052.9,1,1,50
103696,lying,0,0,71.93,1834.7,81.5,1.15,2103.5,1,1,49
104111,lying,0,0,71.93,1834.2,66.5,1.1,2012.4,1,0,49
104497,lying,0,0,71.93,1833.2,53.2,1.06,1950.9,1,0,49
104910,lying,0,0,71.93,1827.0,49.9,1.06,1934.6,1,0,48
105316,lying,0,0,71.93,1832.1,41.0,1.06,1934.6,1,0,48
105696,lying,0,0,71.93,1831.4,40.3,1.06,1934.6,1,0,47
106096,lying,0,0,71.93,1828.0,38.5,1.06,1934.6,1,0,47
106540,lying,0,0,71.93,1827.2,36.0,1.06,1934.6,1,0,47
106896,lying,0,0,71.93,1830.8,39.8,1.07,1963.1,1,0,46
107327,lying,0,0,71.93,1831.1,36.6,1.07,1963.1,1,0,46
107697,lying,0,0,71.93,1834.6,42.3,1.07,1963.1,1,0,45
108097,lying,0,0,71.93,1846.3,75.3,1.26,2321.8,1,0,45
108497,lying,0,0,71.93,1850.3,74.4,1.25,2321.8,1,0,45
108897,lying,0,0,71.93,1852.1,73.8,1.25,2321.8,1,0,44
109306,lying,0,0,71.93,1845.7,75.0,1.26,2321.8,1,0,44
