elapsed_ms,ir
54399,166344
54409,166367
54419,166322
54429,166341
54439,166344
54449,166360
54459,166368
54469,166372
54479,166380
54489,166390
54499,166389
54509,166403
54560,166399
54570,166397
54579,166380
54589,166400
54599,166376
54609,166412
54619,166388
54629,166371
54639,166379
54649,166389
54659,166371
54669,166358
54679,166350
54689,166331
54699,166342
54709,166336
54719,166318
54729,166309
54739,166284
54749,166269
54800,166228
54811,166252
54855,166268
54860,166284
54870,166294
54913,166351
54921,166399
54963,166388
54970,166346
54979,166315
54990,166356
54999,166329
55009,166293
55019,166272
55029,166257
55039,166250
55049,166224
55059,166162
55069,166124
55080,166078
55089,165999
55099,165939
55109,165890
55120,165847
55131,165791
55140,165761
55151,165750
55160,165726
55171,165722
55180,165686
55191,165715
55200,165721
55211,165712
55220,165696
55231,165716
55240,165702
55251,165696
55260,165678
55271,165656
55280,165659
55291,165666
55300,165658
55311,165633
55362,165609
55371,165594
55380,165584
55391,165576
55400,165577
55411,165574
55420,165547
55431,165538
55440,165537
55451,165537
55460,165495
55511,165460
55522,165449
55574,165412
55581,165439
55624,165488
55664,165614
55671,165539
55681,165646
55690,165561
55701,165571
55710,165601
55761,165468
55772,165399
55781,165389
55790,165360
55800,165313
55811,165312
55820,165282
55830,165229
55840,165253
55850,165241
55860,165242
55870,165236
55880,165250
55890,165220
55900,165220
55910,165202
55920,165185
55930,165170
55940,165154
55950,165175
55960,165139
55970,165122
55980,165129
55990,165128
56000,165111
56010,165103
56020,165096
56030,165105
56040,165103
56050,165112
56060,165112
56070,165127
56080,165152
56090,165148
56100,165137
56110,165150
56120,165177
56130,165183
56140,165163
56150,165171
56161,165191
56170,165222
56180,165228
56223,165250
56232,165230
56241,165236
56285,165139
56291,165181
56372,165165
56374,165105
56383,165210
56393,165247
56435,165252
56441,165295
56452,165277
56461,165273
56471,165265
56481,165232
56492,165211
56501,165175
56511,165154
56522,165158
56531,165169
56542,165175
56551,165202
56561,165243
56572,165265
56581,165302
56591,165296
56601,165347
56612,165344
56662,165380
56672,165382
56681,165398
56692,165390
56701,165391
56711,165386
56721,165407
56732,165410
56742,165434
56751,165445
56761,165446
56772,165460
56781,165428
56792,165450
56801,165429
56812,165460
56821,165474
56831,165465
56841,165484
56852,165478
56861,165472
56871,165472
56881,165470
56892,165472
56901,165461
56911,165456
56921,165468
56932,165465
56979,165373
56983,165344
57022,165313
57102,165164
57104,165078
57116,165098
57122,165084
57166,164952
57172,164908
57181,164825
57191,164770
57201,164729
57212,164688
57221,164632
57231,164607
57241,164579
57252,164606
57261,164601
57272,164661
57283,164707
57292,164749
57302,164792
57313,164839
57322,164865
57333,164897
57342,164944
57352,164992
57362,165027
57372,165061
57383,165055
57392,165054
57402,165032
57412,165030
57456,165010
57464,165033
57472,165073
57482,165047
57492,165049
57502,165048
57513,165036
57523,165032
57532,165061
57542,165073
57553,165067
57563,165088
57572,165085
57582,165104
57593,165116
57603,165137
57612,165145
57622,165173
57633,165205
57643,165240
57652,165242
57662,165279
57714,165337
57755,165368
57763,165390
57772,165379
57782,165383
57793,165356
57803,165377
57812,165373
57822,165356
57832,165323
57842,165313
57852,165290
57898,165278
57901,165067
57903,165088
57912,165328
57922,165366
57933,165409
57942,165378
57952,165400
57962,165391
57972,165415
57982,165413
57993,165484
58002,165481
58013,165506
58053,165569
58105,165678
58114,165667
58122,165626
58133,165701
58142,165660
58153,165707
58162,165698
58173,165717
58183,165735
58192,165712
58202,165723
58213,165779
58222,165751
58233,165831
58242,165834
58253,165854
58262,165831
58273,165869
58282,165861
58293,165887
58302,165884
58353,165896
58364,165913
58373,165894
58383,165897
58393,165885
58403,165884
58414,165890
58423,165895
58433,165922
58443,165898
58454,165907
58463,165890
58473,165886
58483,165863
58493,165850
58503,165840
58514,165815
58523,165809
58533,165799
58544,165813
58553,165817
58564,165846
58573,165846
58583,165856
58593,165869
58604,165883
58613,165905
58705,165871
58714,165787
58766,165696
58774,165728
58827,165733
58833,165731
58844,165680
58854,165676
58863,165686
58873,165673
58883,165675
58893,165666
58904,165688
58913,165675
58924,165660
58933,165655
58943,165646
58953,165677
58964,165676
58974,165679
58983,165662
58993,165647
59003,165676
59013,165633
59065,165695
59074,165681
59083,165660
59093,165613
59103,165586
59113,165566
59124,165566
59133,165512
59143,165450
59153,165450
59164,165456
59173,165403
59183,165374
59193,165402
59204,165425
59213,165381
59223,165385
59233,165372
59244,165410
59253,165367
59263,165342
59273,165352
59284,165379
59293,165344
59303,165352
59313,165351
59323,165353
59374,165340
59426,165330
59436,165347
59479,165359
59485,165328
59495,165314
59545,165255
59556,165241
59564,165245
59574,165240
59585,165237
59594,165222
59604,165208
59614,165217
59625,165229
59634,165209
59644,165203
59655,165213
59664,165224
59674,165217
59685,165205
59694,165202
59704,165197
59714,165209
59724,165198
59734,165164
59744,165136
59754,165099
59764,165086
59774,165057
59784,165070
59795,165041
59805,165031
59814,165043
59865,165144
59876,165149
59884,165172
59895,165135
59904,165189
59914,165210
59925,165223
59934,165216
59944,165209
59955,165258
59965,165258
59975,165276
59984,165294
59994,165280
60005,165288
60014,165282
60024,165251
60035,165297
60045,165281
60054,165277
60099,165213
60105,165231
60155,165225
60166,165227
60174,165185
60215,165258
60258,165226
60266,165186
60275,165198
60347,165280
60356,165098
60366,165127
60374,165064
60385,165052
60394,165020
60404,164956
60414,164964
60425,164989
60435,164969
60445,164979
60454,164994
60465,164994
60474,165007
60484,165017
60494,165021
60505,165014
60515,165033
60525,165055
60535,165046
60545,165079
60555,165059
60565,165062
60576,165072
60585,165094
60595,165089
60606,165114
60615,165112
60665,165204
