elapsed_ms,ax,ay,az
58555,-1553,-55,602
58595,-1622,-99,490
58706,-1864,-127,544
58716,-1876,-10,531
58768,-1509,315,1165
58813,-1978,-213,183
58828,-1950,16,608
58836,-1964,-23,617
58876,-1985,-139,577
58915,-1797,-39,608
58955,-1782,32,525
58996,-1757,26,509
59066,-1777,-71,367
59075,-1749,-31,348
59115,-1651,41,475
59155,-1664,-16,478
59195,-1725,-139,453
59235,-1885,-202,308
59275,-1726,-65,359
59315,-1718,-165,435
59376,-1671,70,602
59427,-1873,115,385
59437,-1827,-30,508
59486,-1828,-119,542
59546,-1826,-210,532
59557,-1833,-200,502
59595,-1777,-98,427
59635,-1817,-214,412
59676,-1819,-272,411
59715,-1780,-184,393
59755,-1749,-99,403
59796,-1763,-116,359
59867,-1832,-35,439
59877,-1844,4,388
59916,-1808,82,380
59956,-1802,-40,370
59996,-1774,-119,394
60036,-1849,-132,380
60101,-1879,-145,418
60157,-1802,-61,413
60167,-1813,-28,391
60210,-1784,-67,399
60260,-1759,-121,457
60309,-1777,-147,417
60349,-1754,-118,417
60358,-1733,-52,387
60397,-1751,-114,400
60436,-1737,-121,471
60477,-1800,-162,369
60517,-1784,-169,347
60556,-1782,-132,349
60597,-1813,-155,347
60668,-1639,-306,536
60677,-1777,-331,475
60716,-1697,-138,509
60756,-1903,-171,499
60797,-1863,-134,474
60836,-1954,190,406
60907,-1747,-30,440
60917,-1722,114,417
61003,-1801,296,324
61017,-1782,317,377
61070,-1786,-212,478
61078,-1757,-272,439
61116,-1953,-24,343
61156,-1448,224,513
61196,-1804,224,502
61236,-1848,2,531
61276,-1684,57,492
61316,-1796,141,421
61356,-1836,38,429
61396,-1731,205,461
61467,-1685,147,492
61479,-1695,191,494
61557,-1498,38,581
61567,-1635,-165,643
61618,-1888,247,453
61664,-1796,31,542
61676,-1842,-32,557
61716,-1721,-102,453
61756,-1750,-102,476
61797,-1834,222,453
61869,-1702,101,533
61877,-1684,103,546
61917,-1794,116,521
61958,-1755,102,494
61998,-1750,213,470
62037,-1598,-79,495
62077,-1877,5,466
62118,-1819,24,448
62157,-1746,132,486
62211,-1974,-335,428
62267,-1721,100,532
62319,-1715,124,483
62328,-1846,152,485
62358,-1711,461,445
62399,-1738,-31,458
62450,-1733,217,563
62478,-1760,163,541
